place_id,platform_name,hashtag,category,place_name,address,latitude,longitude,phone,menu1,price1,menu2,price2,description,price1_num,price2_num
P005018,Instagram,#송파술집,주점,88조개,서울특별시 송파구 백제고분로7길 32-10 1층,37.5102885847034,127.082479429053,02-422-3179,초대형 조개전골,"52,000원",주류,"5,500원",가성비 초대형 조개전골,52000,5500.0
P005019,Instagram,#송파술집,주점,79대포,서울특별시 송파구 백제고분로7길 32-8 1층,37.5104202414659,127.082450732066,02-417-4003,79김치빠삭파전,"12,900원",주류,"4,500원",가성비 79김치빠삭파전,12900,4500.0
P005020,Instagram,#송파술집,주점,사사노하,서울특별시 송파구 백제고분로42길 4-13 수정빌딩 1층 101호,37.5055082291902,127.108831293223,0507-1328-4451,사사노하 초밥 5pcs,"9,900원",주류,"4,800원",가성비 사사노하 초밥 5pcs,9900,4800.0
P005021,Instagram,#송파술집,주점,마실포차,서울특별시 송파구 올림픽로32길 56,37.5122023951453,127.112229161781,02-417-5092,만두전골,"30,000원",주류,"4,500원",가성비 만두전골,30000,4500.0
P005023,Instagram,#송파술집,주점,제주화로집,서울특별시 송파구 중대로9길 34 1층,37.4963405358618,127.118798446524,02-404-2200,무한리필 1인,"18,900원",주류,"1,500원",가성비 무한리필 1인,18900,1500.0
P005024,Instagram,#송파술집,주점,사루오뎅,서울특별시 송파구 올림픽로32길 18 1층 102호,37.5144143800455,127.109129830721,0507-1373-1896,오뎅세트,"12,700원",주류,"1,900원",가성비 오뎅세트,12700,1900.0
P005025,Instagram,#송파술집,주점,완도산회,서울특별시 송파구 백제고분로41길 10 해븐빌딩 1층,37.5071345100566,127.108376841868,02-422-5989,물회,"18,000원",주류,"3,500원",가성비 물회,18000,3500.0
P005026,Instagram,#송파술집,주점,파도집,서울특별시 송파구 오금로15길 7-1 2층,37.5125648628524,127.109256533917,0507-1397-6250,육사시미,"34,000원",주류,"6,000원",가성비 육사시미,34000,6000.0
P005028,Instagram,#송파술집,주점,생마차,서울특별시 송파구 백제고분로7길 34 1층,37.5106932793486,127.082660504197,02-418-0120,테바나카 10조각,"9,000원",주류,"1,900원",가성비 테바나카 10조각,9000,1900.0
P005029,Instagram,#송파술집,주점,역전할머니맥주,서울특별시 송파구 백제고분로41길 8 송파빌딩,37.5069695938017,127.108510287751,02-424-4188,갈릭빠다포테이토,"7,000원",주류,"4,700원",가성비 갈릭빠다포테이토,7000,4700.0
P005030,Instagram,#송파술집,주점,탁꼬치킨,서울특별시 송파구 가락로 138,37.5022046513441,127.111294637266,02-416-0626,반반치킨,"18,000원",주류,"4,000원",가성비 반반치킨,18000,4000.0
